transaction_id,timestamp,user_id,receiver_id,amount,transaction_type,location,device_type,is_rooted_device,network_type,time_of_day,is_fraud
1,2024-06-21 19:16:00,user_3862,user_1322,36715.31,send,Chennai,mobile,0,WiFi,evening,0
2,2024-04-03 14:38:00,user_1542,user_4536,45772.97,merchant_payment,Bangalore,mobile,0,4G,afternoon,0
3,2024-05-11 09:49:00,user_553,user_1312,4344.79,merchant_payment,Bangalore,tablet,0,5G,morning,0
4,2024-10-23 03:41:00,user_1351,user_4700,4329.27,receive,Ahmedabad,mobile,0,4G,night,0
5,2024-05-10 13:57:00,user_3068,user_872,43023.67,send,Hyderabad,mobile,0,5G,afternoon,0
6,2024-05-02 05:39:00,user_911,user_552,46791.77,send,Delhi,mobile,0,5G,night,0
7,2024-11-23 09:41:00,user_3912,user_3141,24623.12,send,Bangalore,tablet,0,4G,morning,0
8,2024-08-03 13:26:00,user_2667,user_1268,21930.08,merchant_payment,Pune,tablet,0,4G,afternoon,0
9,2024-02-17 07:27:00,user_3973,user_3085,4930.89,receive,Chennai,tablet,0,5G,morning,0
10,2024-12-08 09:06:00,user_3710,user_4881,5084.38,receive,Hyderabad,mobile,0,WiFi,morning,0
11,2024-11-21 22:40:00,user_4036,user_1114,3423.19,receive,Ahmedabad,mobile,1,5G,evening,0
12,2024-08-13 04:52:00,user_1399,user_3327,6888.17,send,Delhi,mobile,0,WiFi,night,0
13,2024-10-27 13:33:00,user_1575,user_3747,13519.08,receive,Mumbai,mobile,0,WiFi,afternoon,0
14,2024-08-09 14:36:00,user_1121,user_490,35672.18,receive,Bangalore,tablet,1,WiFi,afternoon,0
15,2024-10-13 05:44:00,user_4107,user_201,44898.62,merchant_payment,Mumbai,tablet,0,4G,night,0
16,2024-03-27 15:14:00,user_3165,user_4056,20052.65,receive,Mumbai,tablet,0,WiFi,afternoon,0
17,2024-05-01 09:26:00,user_621,user_3586,35763.77,send,Mumbai,tablet,0,WiFi,morning,0
18,2024-02-26 17:58:00,user_3696,user_2920,41810.39,receive,Bangalore,tablet,0,5G,afternoon,0
19,2024-04-11 22:21:00,user_1861,user_4535,48819.48,merchant_payment,Ahmedabad,mobile,0,WiFi,evening,0
20,2024-04-22 02:55:00,user_2246,user_435,24605.88,send,Hyderabad,mobile,0,WiFi,night,0
21,2024-10-22 15:37:00,user_4633,user_550,17940.56,send,Mumbai,tablet,1,4G,afternoon,0
22,2024-12-18 15:40:00,user_3110,user_3549,31434.28,send,Chennai,tablet,0,WiFi,afternoon,0
23,2024-01-10 17:32:00,user_1407,user_1688,40212.63,send,Mumbai,mobile,0,WiFi,afternoon,0
24,2024-04-27 22:55:00,user_3666,user_2680,26646.7,send,Ahmedabad,mobile,0,5G,evening,0
25,2024-02-24 01:52:00,user_1045,user_140,258.58,receive,Hyderabad,tablet,0,WiFi,night,0
26,2024-08-25 10:57:00,user_1307,user_1924,1144.55,merchant_payment,Kolkata,tablet,0,4G,morning,0
27,2024-10-11 23:32:00,user_1465,user_2545,37169.47,receive,Kolkata,mobile,0,WiFi,evening,0
28,2024-01-11 23:53:00,user_2177,user_1917,2488.58,send,Mumbai,tablet,0,WiFi,evening,0
29,2024-02-06 11:21:00,user_3115,user_2707,44570.93,receive,Ahmedabad,mobile,0,5G,morning,0
30,2024-11-18 20:06:00,user_1287,user_4156,30002.28,receive,Chennai,mobile,0,5G,evening,0
31,2024-04-14 01:13:00,user_4177,user_2205,23682.88,merchant_payment,Mumbai,mobile,0,WiFi,night,0
32,2024-03-01 08:22:00,user_3769,user_1530,10708.19,send,Delhi,mobile,0,4G,morning,0
33,2024-01-30 23:48:00,user_2089,user_2435,7422.47,send,Kolkata,mobile,0,WiFi,evening,0
34,2024-06-22 16:16:00,user_765,user_4152,38864.12,send,Delhi,tablet,0,WiFi,afternoon,1
35,2024-08-11 06:38:00,user_3429,user_482,42560.04,receive,Kolkata,mobile,0,5G,morning,0
36,2024-12-01 03:25:00,user_3770,user_875,19593.13,send,Bangalore,mobile,0,4G,night,0
37,2024-12-25 04:44:00,user_4930,user_1481,33322.98,merchant_payment,Ahmedabad,tablet,0,4G,night,0
38,2024-12-11 06:54:00,user_1845,user_4490,44047.84,receive,Mumbai,tablet,0,4G,morning,0
39,2024-02-13 23:23:00,user_3437,user_2385,5179.39,merchant_payment,Bangalore,mobile,0,4G,evening,0
40,2024-11-03 07:16:00,user_2198,user_1996,18748.03,receive,Bangalore,mobile,0,WiFi,morning,0
41,2024-09-29 22:55:00,user_2237,user_411,41126.73,merchant_payment,Mumbai,mobile,0,5G,evening,0
42,2024-11-21 19:06:00,user_3957,user_1808,27388.17,send,Mumbai,tablet,0,5G,evening,0
43,2024-10-11 13:43:00,user_490,user_3645,20942.74,send,Delhi,tablet,0,WiFi,afternoon,0
44,2024-09-22 09:18:00,user_4371,user_2438,16244.96,send,Pune,mobile,0,5G,morning,0
45,2024-08-04 20:58:00,user_3376,user_3181,48005.58,send,Mumbai,tablet,0,WiFi,evening,0
46,2024-02-26 20:12:00,user_207,user_739,15412.53,merchant_payment,Bangalore,mobile,0,5G,evening,0
47,2024-12-09 18:10:00,user_2389,user_4630,42784.28,receive,Hyderabad,tablet,0,WiFi,evening,0
48,2024-04-30 16:19:00,user_1604,user_2169,35340.33,receive,Chennai,mobile,0,WiFi,afternoon,0
49,2024-04-22 19:58:00,user_3235,user_625,32134.39,receive,Ahmedabad,mobile,0,5G,evening,0
